48439,48437,48435,48435,"49830, 51243"
48440,48438,48436,48436,48880
49790,48439,48437,48437,48880
49790,48440,48438,48438,38380
49790,48441,48439,48439,48881
50847,48441,48440,48440,48442
30939,49790,48441,48441,49077
"49484, 26119",50847,48441,48441,48881
"49830, 51243",30939,49790,49790,49079
48880,"49484, 26119",50847,50847,50387
48880,"49830, 51243",30939,30939,"48442, 49485"
38380,48880,"49484, 26119","49484, 26119",49077
48881,48880,"49830, 51243","49830, 51243",49077
56553,38380,48880,48880,48443
49077,"48881, 48820, 49077",48880,48880,48496
49078,"49078, 49079",38380,38380,48445
49079,"50387, 48820",48881,48881,48446
50387,"49485, 49791",48442,48442,48447
"48820, 49485",49791,49077,49077,49463
49791,48443,49078,48881,49463
49791,48496,49079,49079,53760
48443,48445,50387,50387,
48496,48446,"48820, 49485","48442, 49485",
48445,48447,49791,49077,
48446,49463,48443,49077,
48447,53760,48496,48443,
49463,53760,48445,48496,
49463,53760,48446,48445,
53760,53760,48447,48446,
53760,53760,49463,48447,
,"53761, 53762, 53763",49463,49463,
,53764,53760,49463,
,53764,53760,53760,"53761, 53762, 53763"
,48924,53760,,53764
,49080,53760,,53764
,53765,53760,,48924
"53761, 53762",53766,53760,,"49080, 53765"
"53763, 53764",53767,53760,,"53766, 53767"
53764,53768,53760,,"53768, 53769"
53764,53769,53760,,"53770, 48448"
53764,"53770, 48448",48894,,"48449, 48450"
48924,48448,48894,,"48451, 48901"
48924,"48449, 48450","53761, 53762, 53763",,"53771, 53772, 53773"
"49080, 53765","48451, 48901",53764,,53773
"53766, 53767",53771,53764,"53761, 53762, 53763",48452
"53768, 53769",53772,48924,53764,"48453, 48454"
53770,53773,"49080, 53765",53764,48455
48448,48452,"53766, 53767",48924,"48456, 48457"
48449,48453,"53768, 53769","49080, 53765",48457
"48450, 48451",48454,"53770, 48448","53766, 53767",48457
48901,48455,"48449, 48450","53768, 53769",48457
"53771, 53772, 53773",48456,"48451, 48901","53770, 48448",53834
53773,48457,"53771, 53772, 53773","48449, 48450",
48452,48457,53773,"48451, 48901",
48452,48457,48452,"53771, 53772, 53773",
48452,48457,"48453, 48454",53773,
"48453, 48454",48457,48455,48452,
"48455, 48456",48457,"48456, 48457","48453, 48454",
48457,48457,48457,48455,
52134,52134,,"48456, 48457",
52134,,,48457,
,,,,
,,,,
,,52134,52137,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
